P_NAME,P_HABZONE,P_TYPE_TEMP
K2-138 b,0,Hot
K2-138 c,0,Hot
K2-138 d,0,Hot
K2-138 e,0,Hot
K2-138 f,0,Hot
K2-139 b,0,Hot
K2-14 b,0,Hot
K2-140 b,0,Hot
K2-141 b,0,Hot
K2-141 c,0,Hot
K2-146 b,0,Hot
K2-146 c,0,Hot
K2-147 b,0,Hot
K2-148 b,0,Hot
K2-148 c,0,Hot
K2-148 d,0,Hot
K2-149 b,0,Hot
K2-15 b,0,Hot
K2-150 b,0,Hot
K2-151 b,0,Hot
K2-152 b,0,Hot
K2-153 b,0,Hot
K2-154 b,0,Hot
K2-154 c,0,Hot
K2-155 b,0,Hot
K2-155 c,0,Hot
K2-155 d,0,Hot
K2-156 b,0,Hot
K2-157 b,0,Hot
K2-158 b,0,Hot
K2-158 c,0,Hot
K2-159 b,0,Hot
K2-16 b,0,
K2-16 c,0,
K2-160 b,0,Hot
K2-161 b,0,Hot
K2-162 b,0,Hot
K2-163 b,0,Hot
K2-164 b,0,Hot
K2-165 b,0,Hot
K2-165 c,0,Hot
K2-165 d,0,Hot
K2-166 b,0,
K2-167 b,0,Hot
K2-168 b,0,Hot
K2-169 b,0,Hot
K2-17 b,0,Hot
K2-170 b,0,Hot
K2-170 c,0,Hot
K2-171 b,0,Hot
K2-172 b,0,Hot
K2-172 c,0,Hot
K2-173 b,0,Hot
K2-174 b,0,Hot
K2-175 b,0,Hot
K2-176 b,0,Hot
K2-177 b,0,Hot
K2-178 b,0,Hot
K2-179 b,0,Hot
K2-18 b,1,Warm
K2-18 c,0,Hot
K2-180 b,0,Hot
K2-181 b,0,Hot
K2-182 b,0,Hot
K2-183 b,0,Hot
K2-183 c,0,Hot
K2-183 d,0,Hot
K2-184 b,0,Hot
K2-185 b,0,Hot
K2-186 b,0,Hot
K2-187 b,0,Hot
K2-187 c,0,Hot
K2-187 d,0,Hot
K2-187 e,0,Hot
K2-188 b,0,Hot
K2-188 c,0,Hot
K2-189 b,0,Hot
K2-189 c,0,Hot
K2-19 b,0,Hot
K2-19 c,0,Hot
K2-19 d,0,Hot
K2-190 b,0,Hot
K2-190 c,0,Hot
K2-191 b,0,Hot
K2-192 b,0,Hot
K2-193 b,0,Hot
K2-194 b,0,Hot
K2-195 b,0,Hot
K2-195 c,0,Hot
K2-196 b,0,Hot
K2-197 b,0,Hot
K2-198 b,0,Hot
K2-198 c,0,Hot
K2-198 d,0,Hot
K2-199 b,0,Hot
K2-199 c,0,Hot
K2-200 b,0,Hot
K2-201 b,0,Hot
K2-201 c,0,Hot
K2-202 b,0,Hot
K2-203 b,0,Hot
K2-204 b,0,Hot
K2-205 b,0,Hot
K2-206 b,0,Hot
K2-207 b,0,Hot
K2-208 b,0,Hot
K2-209 b,0,Hot
K2-21 b,0,Hot
K2-21 c,0,Hot
K2-210 b,0,Hot
K2-211 b,0,Hot
K2-212 b,0,Hot
K2-213 b,0,Hot
K2-214 b,0,Hot
K2-215 b,0,Hot
K2-216 b,0,Hot
K2-217 b,0,Hot
K2-218 b,0,Hot
K2-219 b,0,Hot
K2-219 c,0,Hot
K2-219 d,0,Hot
K2-22 b,0,Hot
K2-220 b,0,Hot
K2-221 b,0,Hot
K2-222 b,0,Hot
K2-223 b,0,Hot
K2-223 c,0,Hot
K2-224 b,0,Hot
K2-224 c,0,Hot
K2-225 b,0,Hot
K2-226 b,0,Hot
K2-227 b,0,Hot
K2-228 b,0,Hot
K2-229 b,0,Hot
K2-229 c,0,Hot
K2-230 b,0,Hot
K2-231 b,0,Hot
K2-232 b,0,Hot
K2-233 b,0,Hot
K2-233 c,0,Hot
K2-233 d,0,Hot
K2-237 b,0,Hot
K2-238 b,0,Hot
K2-239 b,0,Hot
K2-239 c,0,Hot
K2-239 d,0,Hot
K2-24 b,0,Hot
K2-24 c,0,Hot
K2-240 b,0,Hot
K2-240 c,0,Hot
K2-241 b,0,Hot
K2-242 b,0,Hot
K2-243 b,0,Hot
K2-243 c,0,Hot
K2-244 b,0,Hot
K2-245 b,0,Hot
K2-246 b,0,Hot
K2-247 b,0,Hot
K2-247 c,0,Hot
K2-248 b,0,Hot
K2-249 b,0,Hot
K2-25 b,0,Hot
K2-250 b,0,Hot
K2-251 b,0,Hot
K2-252 b,0,Hot
K2-253 b,0,Hot
K2-254 b,0,Hot
K2-254 c,0,Hot
K2-255 b,0,Hot
K2-256 b,0,Hot
K2-257 b,0,Hot
K2-258 b,0,Hot
K2-259 b,0,Hot
K2-26 b,0,Hot
K2-260 b,0,Hot
K2-261 b,0,Hot
K2-263 b,0,Hot
K2-264 b,0,Hot
K2-264 c,0,Hot
K2-265 b,0,Hot
K2-266 b,0,Hot
K2-266 c,0,Hot
K2-266 d,0,Hot
K2-266 e,0,Hot
K2-268 b,0,Hot
K2-268 c,0,Hot
K2-269 b,0,Hot
K2-27 b,0,Hot
K2-270 b,0,Hot
K2-270 c,0,Hot
K2-271 b,0,Hot
K2-272 b,0,Hot
K2-273 b,0,Hot
K2-274 b,0,Hot
K2-275 b,0,Hot
K2-275 c,0,Hot
K2-276 b,0,Hot
K2-277 b,0,Hot
K2-278 b,0,Hot
K2-279 b,0,Hot
K2-28 b,0,Hot
K2-280 b,0,Hot
K2-281 b,0,Hot
K2-282 b,0,
K2-283 b,0,Hot
K2-284 b,0,Hot
K2-285 b,0,Hot
K2-285 c,0,Hot
K2-285 d,0,Hot
K2-285 e,0,Hot
K2-286 b,0,Hot
K2-287 b,0,Hot
K2-288 B b,2,Warm
K2-289 b,0,Hot
K2-29 b,0,Hot
K2-290 b,0,Hot
K2-290 c,0,Hot
K2-291 b,0,Hot
K2-293 b,0,Hot
K2-294 b,0,Hot
K2-295 b,0,Hot
K2-296 b,1,Warm
K2-296 c,0,Hot
K2-3 b,0,Hot
K2-3 c,0,Hot
K2-3 d,1,Warm
K2-30 b,0,Hot
K2-31 b,0,Hot
K2-32 b,0,
K2-32 c,0,
K2-32 d,0,
K2-32 e,0,
K2-33 b,0,Hot
K2-34 b,0,Hot
K2-35 b,0,Hot
K2-35 c,0,Hot
K2-36 b,0,Hot
K2-36 c,0,Hot
K2-37 b,0,Hot
K2-37 c,0,Hot
K2-37 d,0,Hot
K2-38 b,0,Hot
K2-38 c,0,Hot
K2-39 b,0,Hot
K2-4 b,0,Hot
K2-42 b,0,Hot
K2-43 b,0,Hot
K2-43 c,0,Hot
K2-44 b,0,Hot
K2-45 b,0,Hot
K2-46 b,0,Hot
K2-47 b,0,Hot
K2-48 b,0,Hot
K2-49 b,0,Hot
K2-5 b,0,Hot
K2-5 c,0,Hot
K2-50 b,0,
K2-52 b,0,Hot
K2-53 b,0,Hot
K2-54 b,0,Hot
K2-55 b,0,Hot
K2-57 b,0,Hot
K2-58 b,0,Hot
K2-58 c,0,Hot
K2-58 d,0,Hot
K2-59 b,0,Hot
K2-59 c,0,Hot
K2-6 b,0,Hot
K2-60 b,0,Hot
K2-61 b,0,Hot
K2-62 b,0,Hot
K2-62 c,0,Hot
K2-63 b,0,Hot
K2-63 c,0,Hot
K2-64 b,0,Hot
K2-65 b,0,Hot
K2-66 b,0,Hot
K2-68 b,0,Hot
K2-69 b,0,Hot
K2-7 b,0,Hot
K2-70 b,0,Hot
K2-71 b,0,Hot
K2-72 b,0,Hot
K2-72 c,0,Hot
K2-72 d,0,Hot
K2-72 e,1,Warm
K2-73 b,0,Hot
K2-74 b,0,Hot
K2-75 b,0,Hot
K2-75 c,0,Hot
K2-77 b,0,Hot
K2-79 b,0,Hot
K2-8 b,0,Hot
K2-8 c,0,Hot
K2-80 b,0,Hot
K2-80 c,0,Hot
K2-80 d,0,Hot
K2-81 b,0,Hot
K2-83 b,0,Hot
K2-83 c,0,Hot
K2-84 b,0,Hot
K2-84 c,0,Hot
K2-85 b,0,Hot
K2-86 b,0,Hot
K2-87 b,0,Hot
K2-88 b,0,Hot
K2-89 b,0,Hot
K2-9 b,1,Warm
K2-90 b,0,Hot
K2-90 c,0,Hot
K2-91 b,0,Hot
K2-95 b,0,Hot
K2-97 b,0,Hot
K2-98 b,0,Hot
K2-99 b,0,Hot
kap And b,0,Cold
kap CrB b,0,Hot
Kapteyn c,0,Cold
KELT-1 b,0,Hot
KELT-10 b,0,Hot
KELT-11 b,0,Hot
KELT-12 b,0,Hot
KELT-14 b,0,Hot
KELT-15 b,0,Hot
KELT-16 b,0,Hot
KELT-17 b,0,Hot
KELT-18 b,0,Hot
KELT-19 A b,0,Hot
KELT-2 A b,0,Hot
KELT-20 b,0,Hot
KELT-21 b,0,Hot
KELT-23 A b,0,Hot
KELT-3 b,0,Hot
KELT-4 A b,0,Hot
KELT-6 b,0,Hot
KELT-6 c,2,Warm
KELT-7 b,0,Hot
KELT-8 b,0,Hot
KELT-9 b,0,Hot
Kepler-10 b,0,Hot
Kepler-10 c,0,Hot
Kepler-100 b,0,Hot
Kepler-100 c,0,Hot
Kepler-100 d,0,Hot
Kepler-1000 b,0,Hot
Kepler-1001 b,0,Hot
Kepler-1002 b,0,Hot
Kepler-1003 b,0,Hot
Kepler-1004 b,0,Hot
Kepler-1005 b,0,Hot
Kepler-1006 b,0,Hot
Kepler-1007 b,0,Hot
Kepler-1008 b,0,Hot
Kepler-1009 b,0,Hot
Kepler-101 b,0,Hot
Kepler-101 c,0,Hot
Kepler-1010 b,0,Hot
Kepler-1011 b,0,Hot
Kepler-1012 b,0,Hot
Kepler-1013 b,0,Hot
Kepler-1014 b,0,Hot
Kepler-1015 b,0,Hot
Kepler-1016 b,0,Hot
Kepler-1016 c,0,Hot
Kepler-1017 b,0,Hot
Kepler-1018 b,0,Hot
Kepler-1019 b,0,Hot
Kepler-102 b,0,Hot
Kepler-102 c,0,Hot
Kepler-102 d,0,Hot
Kepler-102 e,0,Hot
Kepler-102 f,0,Hot
Kepler-1020 b,0,Hot
Kepler-1021 b,0,Hot
Kepler-1022 b,0,Hot
Kepler-1023 b,0,Hot
Kepler-1024 b,0,Hot
Kepler-1025 b,0,Hot
Kepler-1026 b,0,Hot
Kepler-1027 b,0,Hot
Kepler-1028 b,0,Hot
Kepler-1029 b,0,Hot
Kepler-103 b,0,Hot
Kepler-103 c,0,Hot
Kepler-1030 b,0,Hot
Kepler-1031 b,0,Hot
Kepler-1032 b,0,Hot
Kepler-1033 b,0,Hot
Kepler-1034 b,0,Hot
Kepler-1035 b,0,Hot
Kepler-1036 b,0,Hot
Kepler-1037 b,0,Hot
Kepler-1038 b,0,Hot
Kepler-1039 b,0,Hot
Kepler-104 b,0,Hot
Kepler-104 c,0,Hot
Kepler-104 d,0,Hot
Kepler-1040 b,0,Hot
Kepler-1041 b,0,Hot
Kepler-1042 b,0,Hot
Kepler-1043 b,0,Hot
Kepler-1044 b,0,Hot
Kepler-1045 b,0,Hot
Kepler-1046 b,0,Hot
Kepler-1047 b,0,Hot
Kepler-1047 c,0,Hot
Kepler-1048 b,0,Hot
Kepler-1049 b,0,Hot
Kepler-105 b,0,Hot
Kepler-105 c,0,Hot
Kepler-1050 b,0,Hot
Kepler-1050 c,0,Hot
Kepler-1051 b,0,Hot
Kepler-1052 b,0,Hot
Kepler-1053 b,0,Hot
Kepler-1054 b,0,Hot
Kepler-1055 b,0,Hot
Kepler-1056 b,0,Hot
Kepler-1057 b,0,Hot
Kepler-1058 b,1,Warm
Kepler-1059 b,0,Hot
Kepler-106 b,0,Hot
Kepler-106 c,0,Hot
Kepler-106 d,0,Hot
Kepler-106 e,0,Hot
Kepler-1060 b,0,Hot
Kepler-1061 b,0,Hot
Kepler-1062 b,0,Hot
Kepler-1063 b,0,Hot
Kepler-1064 b,0,Hot
Kepler-1065 b,0,Hot
Kepler-1065 c,0,Hot
Kepler-1066 b,0,Hot
Kepler-1067 b,0,Hot
Kepler-1068 b,0,Hot
Kepler-1069 b,0,Hot
Kepler-107 b,0,Hot
Kepler-107 c,0,Hot
Kepler-107 d,0,Hot
Kepler-107 e,0,Hot
Kepler-1070 b,0,Hot
Kepler-1071 b,0,Hot
Kepler-1072 b,0,Hot
Kepler-1073 b,0,Hot
Kepler-1073 c,0,Hot
Kepler-1074 b,0,Hot
Kepler-1075 b,0,Hot
Kepler-1076 b,0,Hot
Kepler-1077 b,0,Hot
Kepler-1078 b,0,Hot
Kepler-1079 b,0,Hot
Kepler-108 b,0,Hot
Kepler-108 c,0,Hot
Kepler-1080 b,0,Hot
Kepler-1081 b,0,Hot
Kepler-1082 b,0,Hot
Kepler-1083 b,0,Hot
Kepler-1084 b,0,Hot
Kepler-1085 b,0,Hot
Kepler-1086 b,0,Hot
Kepler-1086 c,2,Warm
Kepler-1087 b,0,Hot
Kepler-1088 b,0,Hot
Kepler-1089 b,0,Hot
Kepler-109 b,0,Hot
Kepler-109 c,0,Hot
Kepler-1090 b,1,Warm
Kepler-1091 b,0,Hot
Kepler-1092 b,0,Hot
Kepler-1093 b,0,Hot
Kepler-1093 c,0,Hot
Kepler-1094 b,0,Hot
Kepler-1095 b,0,Hot
Kepler-1096 b,0,Hot
Kepler-1097 b,1,Warm
Kepler-1098 b,0,Hot
Kepler-1099 b,0,Hot
Kepler-11 b,0,Hot
Kepler-11 c,0,Hot
Kepler-11 d,0,Hot
Kepler-11 e,0,Hot
Kepler-11 f,0,Hot
Kepler-11 g,0,Hot
Kepler-110 b,0,Hot
Kepler-110 c,0,Hot
Kepler-1100 b,0,Hot
Kepler-1101 b,0,Hot
Kepler-1102 b,0,Hot
Kepler-1103 b,0,Hot
Kepler-1104 b,0,Hot
Kepler-1105 b,0,Hot
Kepler-1106 b,0,Hot
Kepler-1107 b,0,Hot
Kepler-1108 b,0,Hot
Kepler-1109 b,0,Hot
Kepler-111 b,0,Hot
Kepler-111 c,0,Hot
Kepler-1110 b,0,Hot
Kepler-1111 b,0,Hot
Kepler-1112 b,0,Hot
Kepler-1113 b,0,Hot
Kepler-1114 b,0,Hot
Kepler-1115 b,0,Hot
Kepler-1116 b,0,Hot
Kepler-1117 b,0,Hot
Kepler-1118 b,0,Hot
Kepler-1119 b,0,Hot
Kepler-112 b,0,Hot
Kepler-112 c,0,Hot
Kepler-1120 b,0,Hot
Kepler-1121 b,0,Hot
Kepler-1122 b,0,Hot
Kepler-1123 b,0,Hot
Kepler-1124 b,0,Hot
Kepler-1125 b,0,Hot
Kepler-1126 b,0,Hot
Kepler-1127 b,0,Hot
Kepler-1128 b,0,Hot
Kepler-1129 b,0,Hot
Kepler-1129 c,0,Hot
Kepler-113 b,0,Hot
Kepler-113 c,0,Hot
Kepler-1130 b,0,Hot
Kepler-1131 b,0,Hot
Kepler-1132 b,0,Hot
Kepler-1133 b,0,Hot
Kepler-1134 b,0,Hot
Kepler-1135 b,0,Hot
Kepler-1136 b,0,Hot
Kepler-1137 b,0,Hot
Kepler-1138 b,0,Hot
Kepler-1139 b,0,Hot
Kepler-114 b,0,Hot
Kepler-114 c,0,
Kepler-114 d,0,
Kepler-1140 b,0,Hot
Kepler-1141 b,0,Hot
Kepler-1142 b,0,Hot
Kepler-1143 b,0,Hot
Kepler-1143 c,2,Warm
Kepler-1144 b,0,Hot
Kepler-1145 b,0,Hot
Kepler-1146 b,0,Hot
Kepler-1147 b,0,Hot
Kepler-1148 b,0,Hot
Kepler-1149 b,0,Hot
Kepler-115 b,0,Hot
Kepler-115 c,0,Hot
Kepler-1150 b,0,Hot
Kepler-1151 b,0,Hot
Kepler-1152 b,0,Hot
Kepler-1153 b,0,Hot
Kepler-1154 b,0,Hot
Kepler-1154 c,0,Hot
Kepler-1155 b,0,Hot
Kepler-1156 b,0,Hot
Kepler-1157 b,0,Hot
Kepler-1158 b,0,Hot
Kepler-1159 b,0,Hot
Kepler-116 b,0,Hot
Kepler-116 c,0,Hot
Kepler-1160 b,0,Hot
Kepler-1161 b,0,Hot
Kepler-1162 b,0,Hot
Kepler-1163 b,0,Hot
Kepler-1164 b,0,Hot
Kepler-1165 b,0,Hot
Kepler-1166 b,0,Hot
Kepler-1167 b,0,Hot
Kepler-1168 b,0,Hot
Kepler-1169 b,0,Hot
Kepler-117 b,0,Hot
Kepler-117 c,0,Hot
Kepler-1170 b,0,Hot
Kepler-1171 b,0,Hot
Kepler-1172 b,0,Hot
Kepler-1173 b,0,Hot
Kepler-1174 b,0,Hot
Kepler-1175 b,0,Hot
Kepler-1176 b,0,Hot
Kepler-1177 b,0,Hot
Kepler-1178 b,0,Hot
Kepler-1179 b,0,Hot
Kepler-118 b,0,Hot
Kepler-118 c,0,Hot
Kepler-1180 b,0,Hot
Kepler-1181 b,0,Hot
Kepler-1182 b,0,Hot
Kepler-1183 b,0,Hot
Kepler-1184 b,0,Hot
Kepler-1185 b,0,Hot
Kepler-1186 b,0,Hot
Kepler-1187 b,0,Hot
Kepler-1188 b,0,Hot
Kepler-1189 b,0,Hot
Kepler-119 b,0,Hot
Kepler-119 c,0,Hot
Kepler-1190 b,0,Hot
Kepler-1191 b,0,Hot
Kepler-1192 b,0,Hot
Kepler-1193 b,0,Hot
Kepler-1194 b,0,Hot
Kepler-1195 b,0,Hot
Kepler-1196 b,0,Hot
Kepler-1197 b,0,Hot
Kepler-1198 b,0,Hot
Kepler-1199 b,0,Hot
Kepler-12 b,0,Hot
Kepler-120 b,0,Hot
Kepler-120 c,0,Hot
Kepler-1200 b,0,Hot
Kepler-1201 b,0,Hot
Kepler-1202 b,0,Hot
Kepler-1203 b,0,Hot
Kepler-1204 b,0,Hot
Kepler-1205 b,0,Hot
Kepler-1206 b,0,Hot
Kepler-1207 b,0,Hot
Kepler-1208 b,0,Hot
Kepler-1209 b,0,Hot
Kepler-121 b,0,Hot
Kepler-121 c,0,Hot
Kepler-1210 b,0,Hot
Kepler-1211 b,0,Hot
Kepler-1212 b,0,Hot
Kepler-1213 b,0,Hot
Kepler-1214 b,0,Hot
Kepler-1215 b,0,Hot
Kepler-1216 b,0,Hot
Kepler-1217 b,0,Hot
Kepler-1218 b,0,Hot
Kepler-1219 b,0,Hot
Kepler-122 b,0,Hot
Kepler-122 c,0,Hot
Kepler-122 d,0,Hot
Kepler-122 e,0,Hot
Kepler-122 f,0,
Kepler-1220 b,0,Hot
Kepler-1221 b,0,Hot
Kepler-1222 b,0,Hot
Kepler-1223 b,0,Hot
Kepler-1224 b,0,Hot
Kepler-1225 b,0,Hot
Kepler-1226 b,0,Hot
Kepler-1227 b,0,Hot
Kepler-1228 b,0,Hot
Kepler-1229 b,2,Warm
Kepler-123 b,0,Hot
Kepler-123 c,0,Hot
Kepler-1230 b,0,Hot
Kepler-1231 b,0,Hot
Kepler-1232 b,0,Hot
Kepler-1233 b,0,Hot
Kepler-1234 b,0,Hot
Kepler-1235 b,0,Hot
Kepler-1236 b,0,Hot
Kepler-1237 b,0,Hot
Kepler-1238 b,0,Hot
Kepler-1239 b,0,Hot
Kepler-124 b,0,Hot
Kepler-124 c,0,Hot
Kepler-124 d,0,Hot
Kepler-1240 b,0,Hot
Kepler-1241 b,0,Hot
Kepler-1242 b,0,Hot
Kepler-1243 b,0,Hot
Kepler-1244 b,0,Hot
Kepler-1245 b,0,Hot
Kepler-1245 c,0,Hot
Kepler-1246 b,0,Hot
Kepler-1247 b,0,Hot
Kepler-1248 b,0,Hot
Kepler-1249 b,0,Hot
Kepler-125 b,0,Hot
Kepler-125 c,0,Hot
Kepler-1250 b,0,Hot
Kepler-1251 b,0,Hot
Kepler-1252 b,0,Hot
Kepler-1253 b,0,Hot
Kepler-1254 b,0,Hot
Kepler-1254 c,0,Hot
Kepler-1254 d,0,Hot
Kepler-1255 b,0,Hot
Kepler-1256 b,0,Hot
Kepler-1257 b,0,Hot
Kepler-1258 b,0,Hot
Kepler-1259 b,0,Hot
Kepler-126 b,0,Hot
Kepler-126 c,0,Hot
Kepler-126 d,0,Hot
Kepler-1260 b,0,Hot
Kepler-1261 b,0,Hot
Kepler-1262 b,0,Hot
Kepler-1263 b,0,Hot
Kepler-1264 b,0,Hot
Kepler-1265 b,0,Hot
Kepler-1266 b,0,Hot
Kepler-1267 b,0,Hot
Kepler-1268 b,0,Hot
Kepler-1269 b,0,Hot
Kepler-127 b,0,Hot
Kepler-127 c,0,Hot
Kepler-127 d,0,Hot
Kepler-1270 b,0,Hot
Kepler-1271 b,0,Hot
Kepler-1272 b,0,Hot
Kepler-1273 b,0,Hot
Kepler-1274 b,0,Hot
Kepler-1275 b,0,Hot
Kepler-1276 b,0,Hot
Kepler-1277 b,0,Hot
Kepler-1278 b,0,Hot
Kepler-1279 b,0,Hot
Kepler-128 b,0,
Kepler-128 c,0,
Kepler-1280 b,0,Hot
Kepler-1281 b,0,Hot
Kepler-1282 b,0,Hot
Kepler-1283 b,0,Hot
Kepler-1284 b,0,Hot
Kepler-1285 b,0,Hot
Kepler-1286 b,0,Hot
Kepler-1287 b,0,Hot
Kepler-1288 b,0,Hot
Kepler-1289 b,0,Hot
Kepler-129 b,0,Hot
Kepler-129 c,0,Hot
Kepler-1290 b,0,Hot
Kepler-1291 b,0,Hot
Kepler-1292 b,0,Hot
Kepler-1293 b,0,Hot
Kepler-1294 b,0,Hot
Kepler-1295 b,0,Hot
Kepler-1296 b,0,Hot
Kepler-1297 b,0,Hot
Kepler-1298 b,0,Hot
Kepler-1299 b,0,Hot
Kepler-130 b,0,Hot
Kepler-130 c,0,Hot
Kepler-130 d,0,Hot
Kepler-1300 b,0,Hot
Kepler-1301 b,0,Hot
Kepler-1302 b,0,Hot
Kepler-1303 b,0,Hot
Kepler-1304 b,0,Hot
Kepler-1305 b,0,Hot
Kepler-1306 b,0,Hot
Kepler-1307 b,0,Hot
Kepler-1308 b,0,Hot
Kepler-1309 b,0,Hot
Kepler-131 b,0,Hot
Kepler-131 c,0,Hot
Kepler-1310 b,0,Hot
Kepler-1311 b,0,Hot
Kepler-1311 c,0,Hot
Kepler-1312 b,0,Hot
Kepler-1313 b,0,Hot
Kepler-1314 b,0,Hot
Kepler-1315 b,0,Hot
Kepler-1316 b,0,Hot
Kepler-1317 b,0,Hot
Kepler-1318 b,2,Warm
Kepler-1319 b,0,Hot
Kepler-132 b,0,Hot
Kepler-132 c,0,Hot
Kepler-132 d,0,Hot
Kepler-132 e,0,
Kepler-1320 b,0,Hot
Kepler-1321 b,0,Hot
Kepler-1321 c,0,Hot
Kepler-1322 b,0,Hot
Kepler-1323 b,0,Hot
Kepler-1324 b,0,Hot
Kepler-1325 b,0,Hot
Kepler-1326 b,0,Hot
Kepler-1327 b,0,Hot
Kepler-1328 b,0,Hot
Kepler-1329 b,0,Hot
Kepler-133 b,0,Hot
Kepler-133 c,0,Hot
Kepler-1330 b,0,Hot
Kepler-1331 b,0,Hot
Kepler-1332 b,0,Hot
Kepler-1333 b,0,Hot
Kepler-1334 b,0,Hot
Kepler-1335 b,0,Hot
Kepler-1336 b,0,Hot
Kepler-1336 c,0,Hot
Kepler-1337 b,0,Hot
Kepler-1338 b,0,Hot
Kepler-1339 b,0,Hot
Kepler-134 b,0,Hot
Kepler-134 c,0,Hot
Kepler-1340 b,0,Hot
Kepler-1341 b,2,Warm
Kepler-1342 b,0,Hot
Kepler-1343 b,0,Hot
Kepler-1344 b,0,Hot
Kepler-1345 b,0,Hot
Kepler-1346 b,0,Hot
Kepler-1347 b,0,Hot
Kepler-1348 b,0,Hot
Kepler-1349 b,0,Hot
Kepler-135 b,0,Hot
Kepler-135 c,0,Hot
Kepler-1350 b,0,Hot
Kepler-1350 c,0,Hot
Kepler-1351 b,0,Hot
Kepler-1352 b,0,Hot
Kepler-1353 b,0,Hot
Kepler-1354 b,0,Hot
Kepler-1355 b,0,Hot
Kepler-1356 b,0,Hot
Kepler-1357 b,0,Hot
Kepler-1358 b,0,Hot
Kepler-1359 b,0,Hot
Kepler-136 b,0,Hot
Kepler-136 c,0,Hot
Kepler-1360 b,0,Hot
Kepler-1361 b,0,Hot
Kepler-1362 b,1,Warm
Kepler-1363 b,0,Hot
Kepler-1364 b,0,Hot
Kepler-1365 b,0,Hot
Kepler-1365 c,0,Hot
Kepler-1366 b,0,Hot
Kepler-1367 b,0,Hot
Kepler-1368 b,0,Hot
Kepler-1369 b,0,Hot
Kepler-137 b,0,Hot
Kepler-137 c,0,Hot
Kepler-1370 b,0,Hot
Kepler-1370 c,0,Hot
Kepler-1371 b,0,Hot
Kepler-1371 c,0,Hot
Kepler-1372 b,0,Hot
Kepler-1373 b,0,Hot
Kepler-1374 b,0,Hot
Kepler-1375 b,0,Hot
Kepler-1376 b,0,Hot
Kepler-1377 b,0,Hot
Kepler-1378 b,0,Hot
Kepler-1379 b,0,Hot
Kepler-138 b,0,Hot
Kepler-138 c,0,Hot
Kepler-138 d,0,Hot
Kepler-1380 b,0,Hot
Kepler-1381 b,0,Hot
Kepler-1382 b,0,Hot
Kepler-1383 b,0,Hot
Kepler-1384 b,0,Hot
Kepler-1385 b,0,Hot
Kepler-1386 b,0,Hot
Kepler-1387 b,0,Hot
Kepler-1388 b,0,Hot
Kepler-1388 c,0,Hot
Kepler-1388 d,0,Hot
Kepler-1388 e,0,Hot
Kepler-1389 b,0,Hot
Kepler-139 b,0,Hot
Kepler-139 c,0,Hot
Kepler-1390 b,0,Hot
Kepler-1391 b,0,Hot
Kepler-1392 b,0,Hot
Kepler-1393 b,0,Hot
Kepler-1394 b,0,Hot
Kepler-1395 b,0,Hot
Kepler-1396 b,0,Hot
Kepler-1397 b,0,Hot
Kepler-1398 b,0,Hot
Kepler-1398 c,0,Hot
Kepler-1399 b,0,Hot
Kepler-14 b,0,Hot
Kepler-140 b,0,Hot
Kepler-140 c,0,Hot
Kepler-1400 b,0,Hot
Kepler-1401 b,0,Hot
Kepler-1402 b,0,Hot
Kepler-1403 b,0,Hot
Kepler-1404 b,0,Hot
Kepler-1405 b,0,Hot
Kepler-1406 b,0,Hot
Kepler-1407 b,0,Hot
Kepler-1408 b,0,Hot
Kepler-1409 b,0,Hot
Kepler-141 b,0,Hot
Kepler-141 c,0,Hot
Kepler-1410 b,1,Warm
Kepler-1411 b,0,Hot
Kepler-1412 b,0,Hot
Kepler-1413 b,0,Hot
Kepler-1414 b,0,Hot
Kepler-1415 b,0,Hot
Kepler-1416 b,0,Hot
Kepler-1417 b,0,Hot
Kepler-1418 b,0,Hot
Kepler-1419 b,0,Hot
Kepler-142 b,0,Hot
Kepler-142 c,0,Hot
Kepler-142 d,0,Hot
Kepler-1420 b,0,Hot
Kepler-1421 b,0,Hot
Kepler-1422 b,0,Hot
Kepler-1423 b,0,Hot
Kepler-1424 b,0,Hot
Kepler-1425 b,0,Hot
Kepler-1426 b,0,Hot
Kepler-1427 b,0,Hot
Kepler-1428 b,0,Hot
Kepler-1429 b,0,Hot
Kepler-143 b,0,Hot
Kepler-143 c,0,Hot
Kepler-1430 b,0,Hot
Kepler-1431 b,0,Hot
Kepler-1432 b,0,Hot
Kepler-1433 b,0,Hot
Kepler-1434 b,0,Hot
Kepler-1435 b,0,Hot
Kepler-1436 b,0,Hot
Kepler-1437 b,0,Hot
Kepler-1438 b,0,Hot
Kepler-1439 b,0,Hot
Kepler-144 b,0,Hot
Kepler-144 c,0,Hot
Kepler-1440 b,0,Hot
Kepler-1441 b,0,Hot
Kepler-1442 b,0,Hot
Kepler-1443 b,0,Hot
Kepler-1444 b,0,Hot
Kepler-1445 b,0,Hot
Kepler-1446 b,0,Hot
Kepler-1447 b,0,Hot
Kepler-1448 b,0,Hot
Kepler-1449 b,0,Hot
Kepler-145 b,0,Hot
Kepler-145 c,0,Hot
Kepler-1450 b,0,Hot
Kepler-1451 b,0,Hot
Kepler-1452 b,0,Hot
Kepler-1453 b,0,Hot
Kepler-1454 b,0,Hot
Kepler-1455 b,0,Hot
Kepler-1456 b,0,Hot
Kepler-1457 b,0,Hot
Kepler-1458 b,0,Hot
