P_NAME,P_HABZONE,P_TYPE_TEMP
GQ Lup b,0,
GSC 06214-00210 b,0,
GU Psc b,0,
HAT-P-1 b,0,Hot
HAT-P-11 b,0,Hot
HAT-P-11 c,0,Cold
HAT-P-12 b,0,Hot
HAT-P-13 b,0,Hot
HAT-P-13 c,1,Warm
HAT-P-14 b,0,Hot
HAT-P-15 b,0,Hot
HAT-P-16 b,0,Hot
HAT-P-17 b,0,Hot
HAT-P-17 c,0,Cold
HAT-P-18 b,0,Hot
HAT-P-19 b,0,Hot
HAT-P-2 b,0,Hot
HAT-P-20 b,0,Hot
HAT-P-21 b,0,Hot
HAT-P-22 b,0,Hot
HAT-P-23 b,0,Hot
HAT-P-24 b,0,Hot
HAT-P-25 b,0,Hot
HAT-P-26 b,0,Hot
HAT-P-27 b,0,Hot
HAT-P-28 b,0,Hot
HAT-P-29 b,0,Hot
HAT-P-3 b,0,Hot
HAT-P-30 b,0,Hot
HAT-P-31 b,0,Hot
HAT-P-32 b,0,Hot
HAT-P-33 b,0,Hot
HAT-P-34 b,0,Hot
HAT-P-35 b,0,Hot
HAT-P-36 b,0,Hot
HAT-P-37 b,0,Hot
HAT-P-38 b,0,Hot
HAT-P-39 b,0,Hot
HAT-P-4 b,0,
HAT-P-40 b,0,Hot
HAT-P-41 b,0,Hot
HAT-P-42 b,0,Hot
HAT-P-43 b,0,Hot
HAT-P-44 b,0,Hot
HAT-P-44 c,0,Cold
HAT-P-45 b,0,Hot
HAT-P-46 b,0,Hot
HAT-P-49 b,0,Hot
HAT-P-5 b,0,Hot
HAT-P-50 b,0,Hot
HAT-P-51 b,0,Hot
HAT-P-52 b,0,Hot
HAT-P-53 b,0,Hot
HAT-P-54 b,0,Hot
HAT-P-55 b,0,Hot
HAT-P-56 b,0,Hot
HAT-P-57 b,0,Hot
HAT-P-6 b,0,Hot
HAT-P-65 b,0,Hot
HAT-P-66 b,0,Hot
HAT-P-67 b,0,Hot
HAT-P-69 b,0,Hot
HAT-P-7 b,0,Hot
HAT-P-70 b,0,Hot
HAT-P-8 b,0,Hot
HAT-P-9 b,0,Hot
HATS-1 b,0,Hot
HATS-10 b,0,Hot
HATS-11 b,0,Hot
HATS-12 b,0,Hot
HATS-13 b,0,Hot
HATS-14 b,0,Hot
HATS-15 b,0,Hot
HATS-16 b,0,Hot
HATS-17 b,0,Hot
HATS-18 b,0,Hot
HATS-2 b,0,Hot
HATS-22 b,0,Hot
HATS-23 b,0,Hot
HATS-24 b,0,Hot
HATS-25 b,0,Hot
HATS-26 b,0,Hot
HATS-27 b,0,Hot
HATS-28 b,0,Hot
HATS-29 b,0,Hot
HATS-3 b,0,Hot
HATS-30 b,0,Hot
HATS-31 b,0,Hot
HATS-32 b,0,Hot
HATS-33 b,0,Hot
HATS-34 b,0,Hot
HATS-35 b,0,Hot
HATS-36 b,0,Hot
HATS-39 b,0,Hot
HATS-4 b,0,Hot
HATS-40 b,0,Hot
HATS-41 b,0,Hot
HATS-42 b,0,Hot
HATS-43 b,0,Hot
HATS-44 b,0,Hot
HATS-45 b,0,Hot
HATS-46 b,0,Hot
HATS-5 b,0,Hot
HATS-50 b,0,Hot
HATS-51 b,0,Hot
HATS-52 b,0,Hot
HATS-53 b,0,Hot
HATS-54 b,0,Hot
HATS-55 b,0,Hot
HATS-56 b,0,Hot
HATS-57 b,0,Hot
HATS-58 A b,0,Hot
HATS-59 b,0,Hot
HATS-59 c,0,Cold
HATS-6 b,0,Hot
HATS-60 b,0,Hot
HATS-61 b,0,Hot
HATS-62 b,0,Hot
HATS-63 b,0,Hot
HATS-64 b,0,Hot
HATS-65 b,0,Hot
HATS-66 b,0,Hot
HATS-67 b,0,Hot
HATS-68 b,0,Hot
HATS-69 b,0,Hot
HATS-7 b,0,Hot
HATS-70 b,0,Hot
HATS-8 b,0,Hot
HATS-9 b,0,Hot
HD 100546 b,0,
HD 100655 b,0,Hot
HD 100777 b,2,Warm
HD 10180 c,0,Hot
HD 10180 d,0,Hot
HD 10180 e,0,Hot
HD 10180 f,0,Hot
HD 10180 g,2,Warm
HD 10180 h,0,Cold
HD 101930 b,0,Hot
HD 102117 b,0,Hot
HD 102195 b,0,Hot
HD 102272 b,0,Hot
HD 102329 b,0,Hot
HD 102329 c,0,Hot
HD 102365 b,0,Hot
HD 102843 b,0,
HD 102956 b,0,Hot
HD 103197 b,0,Hot
